time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D
2014-03-10T10:00:00+02:00,6712.6699,6757,6671.6201,6689.4502,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6707.68505,6716.069716,46.856528303643685,74.4348316886794
2014-03-11T10:00:00+02:00,6689.4502,6718.2998,6660.5898,6685.52,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6688.4649500000005,6715.057833647059,32.57721181294989,68.03663561943628
2014-03-12T10:00:00+02:00,6685.52,6685.52,6598.3599,6620.8999,NaN,NaN,NaN,NaN,NaN,6864.573358571867,6864.573358571867,6864.573358571867,6647.57495,6711.547712078432,22.530259852713808,60.97665695775635
2014-03-13T10:00:00+02:00,6620.8999,6631.3799,6552.46,6553.7798,NaN,NaN,NaN,NaN,NaN,6815.9659877146805,NaN,NaN,6589.6299,6705.505970823529,10.21489358897661,53.05770466000697
2014-03-14T10:00:00+02:00,6553.7798,6553.7798,6500.3701,6527.8901,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6533.95495,6698.577676941179,7.524642724685123,45.18342219324817
2014-03-17T10:00:00+02:00,6527.8901,6592.3701,6527.8701,6568.3501,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6554.1201,6693.395092705882,9.767456660020132,38.75699284204131
2014-03-18T10:00:00+02:00,6568.3501,6628.2002,6534.8599,6605.2798,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6584.1725,6689.788088784314,13.636614572712077,32.87168701750965
2014-03-19T10:00:00+02:00,6605.2798,6609.46,6566.8501,6573.1299,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6588.67995,6685.03808517647,16.318528014060412,27.668808514742956
2014-03-20T10:00:00+02:00,6573.1299,6573.1299,6492.6201,6542.4399,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6545.32995,6679.201140313726,19.21230608329198,23.142798889535232
2014-03-21T10:00:00+02:00,6542.4399,6572.0898,6537.8901,6557.1699,NaN,NaN,NaN,NaN,NaN,6744.739293943213,NaN,NaN,6552.397425,6674.058626745098,21.566723972669177,20.020516558572282
2014-03-24T10:00:00+02:00,6557.1699,6568.96,6506.4199,6520.3901,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6538.234975,6667.61711709804,19.16785837491634,17.251649565699545
2014-03-25T10:00:00+02:00,6520.3901,6604.8901,6520.3901,6604.8901,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6562.6401,6664.675026901962,20.026428460647143,15.996571230469272
2014-03-26T10:00:00+02:00,6604.8901,6643.5801,6601.7798,6605.2998,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6613.88745,6661.876038509805,22.97827509830344,16.041372755028235
2014-03-27T10:00:00+02:00,6605.2998,6605.2998,6561.3901,6588.3198,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6590.077375,6658.579450196076,27.239963339217077,17.743879730052278
2014-03-28T10:00:00+02:00,6588.3198,6631.48,6585.73,6615.5801,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6605.277475,6656.530010980393,34.27849770826177,20.41926522840994
2014-03-31T10:00:00+03:00,6615.5801,6658.3999,6583.0898,6598.3701,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6613.859974999999,6653.973293098037,43.567521424488326,23.79927170485676
2014-04-01T10:00:00+03:00,6598.3701,6660.27,6598.3701,6652.6099,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6627.405025,6653.730575137255,55.502745006108775,27.985884748196433
2014-04-02T10:00:00+03:00,6652.6099,6672.73,6639.6299,6659.04,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6656.00245,6653.882488470589,66.66665090840874,33.020697037631265
2014-04-03T10:00:00+03:00,6659.04,6680.7798,6638.52,6649.1401,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6656.8699750000005,6653.777378352942,76.06402275902585,38.70586870520465
2014-04-04T10:00:00+03:00,6649.1401,6706.3398,6649.1401,6695.5498,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6675.04245,6655.589620941178,84.15742940579779,44.96493924851752
2014-04-07T10:00:00+03:00,6695.5498,6695.5498,6614.73,6622.8398,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6657.16735,6654.525542274509,85.37922038878489,51.586075449904364
2014-04-08T10:00:00+03:00,6622.8398,6625.1899,6549.75,6590.6899,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6597.1174,6652.144071764705,75.47046397048086,57.130479000887746
